Committee ID,Committee Name,Flag
C00487470,CLUB FOR GROWTH ACTION,General far-right bad org
C30002372,CLUB FOR GROWTH,General far-right bad org
C90009945,CLUB FOR GROWTH,General far-right bad org
C00782318,AMERICANS FOR BORDER SECURITY PAC,Right Wing Border PAC
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,Right Wing Immigration PAC
C00616177,IMMIGRATION FOR AMERICANS,Right Wing Immigration PAC
C00777284,PRO LIFE POWER PAC,Anti-abortion/right to life group
C00781476,CONGRESSIONAL PRO-LIFE PAC,Anti-abortion/right to life group
C90012014,TEXAS ALLIANCE FOR LIFE INC,Anti-abortion/right to life group
C90015843,TEXAS RIGHT TO LIFE COMMITTEE INC,Anti-abortion/right to life group
C90020108,STUDENTS FOR LIFE ACTION,Anti-abortion/right to life group
C00097196,"OHIO RIGHT TO LIFE SOCIETY, INC. PAC",Anti-abortion/right to life group
C00101212,RIGHT TO LIFE OF MICHIGAN POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00105080,NEW YORK STATE RIGHT TO LIFE COMMITTEE INC POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00105791,ROCHESTER AREA RIGHT TO LIFE POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00128520,MASSACHUSETTS CITIZENS FOR LIFE POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00129171,"MINNESOTA CITIZENS CONCERNED FOR LIFE, INC. FEDERAL PAC",Anti-abortion/right to life group
C00293118,ILLINOIS CITIZENS FOR LIFE,Anti-abortion/right to life group
C00155184,VIRGINIA SOCIETY FOR HUMAN LIFE INC-POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00157537,WEST VIRGINIANS FOR LIFE INC POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00164004,KENTUCKY PRO-LIFE POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00172361,PENNSYLVANIA PRO-LIFE FEDERATION PAC,Anti-abortion/right to life group
C00173278,WISCONSIN RIGHT TO LIFE INC POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00175521,KANSANS FOR LIFE FEDERAL POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00206516,SC CITIZENS FOR LIFE-P A C,Anti-abortion/right to life group
C00260331,NEW JERSEY RIGHT TO LIFE COMMITTEE FEDERAL PAC,Anti-abortion/right to life group
C00358051,NATIONAL PRO-LIFE ALLIANCE PAC,Anti-abortion/right to life group
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,Anti-abortion/right to life group
C00438747,LIFE AND LIBERTY PAC INC,Anti-abortion/right to life group
C00480822,LIFE ISSUES FAMILY ETHICS POLITICAL ACTION COMMITTEE,Anti-abortion/right to life group
C00520122,PRO-LIFE PAC,Anti-abortion/right to life group
C00525675,PRO-LIFE VICTORY FEDERAL PAC,Anti-abortion/right to life group
C00448373,HUCK PAC,"""pro-life""/anti-abortion group"
