Committee ID,Short Name,Official LPAC Name,"PAC Sponsor, District",UPDATED 9/20/24
C00634519,,Defend Freedom Political Action Committee,Warren Davidson (OH-08),
C00571216,DAVE PAC,Defending American Values Everywhere PAC,David Joyce (OH-14),
C00822833,,Defending The American Dream PAC,Juan Ciscomani (AZ-06),
C00681643,DEB PAC,Deliver. Excel. Believe. PAC,Debbie Lesko (AZ-08),
C00756825,,Delivers PAC,Randy Feenstra (IA-04),
C00775999,,Dependable Conservative Leadership PAC,Max Miller (OH-07),
C00635557,,Do Right Bayou PAC,Garret Graves (LA-06),
C00819102,,Dreamakers PAC,Lori Chavez-Deremer (OR-05),
C00570945,,E-PAC,Elise Stefanik (NY-21),
C00819854,,El Sueno Americano,Mayra Flores (Formerly TX-34),
C00592089,EMMER PAC,Electing Majority Making Effective Republicans (EMMER PAC),Tom Emmer (MN-06),
C00816389,,Electing Republicans Indiana PAC,Erin Houchin (IN-09),
C00814897,,Empire Strike PAC,Anthony D'Esposito (NY-04),
C00390161,,Eureka Political Action Committee,Ken Calvert (CA-41),
C00757922,,Expect More Leadership PAC,Blake Moore (UT-01),
C00818344,,Farmer PAC,John Duarte (CA-13),
C00818542,,Field of Dreams PAC,Brad Finstad (MN-01),
C00762328,,Fight On PAC,Ashley Hinson (IA-02),
C00520841,,Fightin' Ninth Political Action Committee,Morgan Griffith (VA-09),
C00528075,,First Capital PAC,Scott Perry (PA-10),
C00540146,,First In Freedom PAC,Richard Hudson (NC-09),
C00812586,,First in Texas PAC,Nathaniel Moran (TX-01),
C00683508,,Forever Youth Organization Utilizing A New Generation PAC,Young Kim (CA-40),
C00769695,,Freedom Force PAC,Maria Elvira Salazar (FL-27),
C00809012,,Frogman PAC,Derrick Van Orden (WI-03),
C00742346,GARCIA PAC,Get America Right: Community In Action - GARCIA PAC,Mike Garcia (CA-27),
C00531517,GUS PAC,Giving Us Security Political Action Committee (GUS PAC),Gus Bilirakis (FL-12),
C00657262,,Go PAC Go,Mike Gallagher (WI-08),
C00758433,,Great Plains PAC,Tracey Mann (KS-01),
C00526715,,Greater Tomorrow Political Action Committee,Glenn Thompson (PA-15),
C00685115,GOODEN PAC,Growing Our Own Dynamic Economy Now,Lance Gooden (TX-05),
C00523381,,HeartDocPAC,Larry Bucshon (IN-08),
C00807412,,Hellfire PAC,Wesley Hunt (TX-38),
C00755173,,Honor Courage Commitment PAC,Tony Gonzales (TX-23),
C00326439,,House Conservatives Fund,"Mike Johnson (LA-04)
James Banks (IN-03)
Benjamin Cline (VA-06)",
C00525238,,Impact Committee,Michael Turner (OH-10),
C00623512,,In The Arena PAC,French Hill (AR-02),
C00540187,,Innovation Political Action Committee,Patrick McHenry (NC-10),
C00450320,,Invest In A Strong And Secure America,Darrell Issa (CA-48),
C00656777,,Jam PAC,Lloyd Smucker (PA-11),
C00516724,JEFF PAC,"Jobs, Energy and Our Founding Fathers PAC - JEFF PAC",Jeff Duncan (SC-03),
C00760629,,Joy PAC,Esther Joy King (IL-17),
C00582726,JACKIE PAC,Jump into Action for Conservatives to Keep Our Ideas Elevated PAC,Jackie Walorski Swihart (former IN-02),
C00793570,,Keep Electing New Talent PAC,Joe Kent (WA-03),
C00808717,,Keep Texas Texas PAC,Monica De La Cruz (TX-15),
C00524603,,Keeping America Rolling PAC,George Kelly (PA-16),
C00493809,KRISTI PAC,Keeping Republican Ideas Strong Timely & Inventive,Kristi Noem (ND Governor),
C00607721,,Land Of Opportunity PAC,Bruce Westerman (AR-04),
C00813063,LALOTA PAC,Leadership and Loyalty Only to America,Nick LaLota (NY-01),
C00737270,,Libertad,Carlos Gimenez (FL-28),
C00415208,,Lone Star Leadership PAC,Michael Burgess (TX-26),
C00565630,MARIO PAC,Maintaining All Republicans In Office PAC,Mario Diaz-Balart (FL-26),
C00428052,MC PAC,Majority Committee PAC--MC PAC,Kevin McCarthy (CA-20),
C00409276,MARSHA PAC,Making a Responsible Stand for Households in America PAC,Marsha Blackburn (Senate R-TN),
C00445379,,Making America Prosperous PAC,Kevin Brady (TX-08),
C00764886,,Michigan Values PAC,Lisa McClain (MI-09),
C00774588,,Mission First People Always,John James (MI-10),
C00825398,,Missouri Truth PAC,Mark Alford (MO-04),
C00563726,MR SMITH PAC,Mr. Southern Missourian In The House PAC,Jason Smith (MO-08),
C00817338,,MVL PAC,Mike Lawler (NY-17),
C00687525,,Never Surrender PAC,Mark Green (TN-07),
C00780809,,New Mexico Freedom Fund,"Yvette Herrell (Formerly NM-02, beat by Gabe Vasquez)",
C00813162,,No Easy Day PAC,Morgan Luttrell (TX-08),
C00686402,,Nooga PAC,Charles Fleischmann (TN-03),
C00724229,,Old Breed PAC,Greg Murphy (NC-03),
C00697326,,"On Wisconsin PAC, Inc",Brian Steil (WI-01),
C00761528,,Oregon Frontier PAC,Cliff Bentz (OR-02),
C00758722,PAT PAC,Patriots Always Triumph,Patrick Fallon (TX-04),
C00531590,,Patriots In Action,Roger Williams (TX-33),
C00738260,,"Point Action PAC, Inc.",Drew Ferguson (GA-03),
C00377689,,"Prosperity Action, Inc.",Paul Ryan (former WI-01),
C00755728,,Proven Conservatives PAC,Byron Donalds (FL-19),
C00749481,,Raptor PAC,August Pfluger (TX-11),
C00493361,,Razor PAC,Steve Womack (AR-03),
C00691501,,Re-Joyce PAC,John Joyce (PA-13),
C00487942,,Reaching For A Brighter America PAC,Rob Aderholt (AL-04),
C00817825,,Red Hook PAC,Marc Molinaro (NY-19),
C00697698,ROSE PAC,Republicans Offering Solutions for Everyone PAC,John Rose (TN-06),
C00823351,RUDY PAC,Republicans United To Defend You PAC (RUDY PAC),Rudy Yakym (IN-02),
C00573493,ROD PAC,Restoring Our Democracy (ROD PAC),Rodney Davis (IL-13),
C00649525,RON PAC,Restoring Our Nation (RON) PAC,Ron Estes (KS-04),
C00200865,,Road To Freedom Campaign Committee,Ed Royce (CA-39),
C00691147,,Roughrider PAC,Kelly Armstrong (ND- At Large),
C00570770,RAC PAC,Rural America Counts PAC,Rick Crawford (AR-01),
C00689208,,RVFPAC,Guy Reschenthaler (PA-14),
C00534032,SALMON PAC,Safeguarding American Liberties Morals & Opportunities Now (SALMON) PAC,Matt Salmon (AZ-05),
C00719971,,Senage Eagle PAC,Bill Hagerty (Sen-TN),
C00410621,SHOW-ME PAC,Show-Me Political Action Committee,Sam Graves (MO-06),
C00770255,SIX PAC,Six Political Action Committee,Mariannette Miller-Meeks (IA-01),
C00778308,,Southern States PAC,Trent Kelly (MS-01),
C00376756,,Speak Up America Political Action Committee,Joe Wilson (SC-02),
C00807909,SCOTT PAC,Stop Collectivism Or Totalitarianism Triumphs PAC,Scott Baugh (CA-47),
C00744532,STEEL PAC,Support Taxfighters & Elect Effective Leaders PAC,Michelle Steel (CA-45),
C00647354,,Team America – Bringing America Together PAC,Brian Fitzpatrick (PA-01),
C00635367,,Tenacious PAC,Claudia Tenney (NY-24),
C00765578,,Tennessee Tough PAC,Diana Harshbarger (TN-01),
C00753384,,Texas Red,Ronny Jackson (TX-13),
C00481531,TRU PAC,Texas Republicans United Political Action Committee (TRU PAC),,
C00467431,,The Eye Of The Tiger Political Action Committee,Steve Scalise (LA-01),
C00493221,,The Guardian Fund,Jim Banks (IN-03),
C00784694,,TKJ PAC,Tom Kean (NJ-07),
C00583526,TULIP PAC,"Together United for Liberty, Integrity, and Prosperity PAC (TULIP PAC) ",John Moolenaar (MI-02),
C00495887,TIM PAC,Tomorrow Is Meaningful PAC,Tim Scott (SC-Sen),
C00498360,TIM W FUND,Truth Is Markets Work Fund A/K/A Tim W Fund,Tim Walberg (MI-05),
C00503151,,Upper Hand Fund,Bill Huizenga (MI-04),
C00703173,,Upstate SC PAC,William Timmons (SC-04),
C00654186,,Utah First PAC,John Curtis (UT-03),
C00583153,,Valor PAC,Brian Mast (FL-21),
C00525212,VAF PAC,Victory And Freedom PAC (VAF PAC),Virginia Foxx (NC-05),
C00724229,,Victory East,Greg Murphy (NC-03),
C00378356,,Virginia Leadership PAC,James Moran (former VA-08),
C00704411,,Volunteer Issues PAC Inc,Tim Burchett (TN-02),
C00693671,,Warrior Diplomat PAC,Michael Waltz (FL-06),
C00764795,,We the People Leadership PAC,Lauren Boebert (CO-03),
C00500793,,Wells PAC,Austin Scott (GA-08),
C00706176,,Your Ohio Republican Team ,Troy Balderson (OH-12),
C00693895,,Come and Take It Political Action Committee,Chip Roy (TX-21),
C00817775,,Pine Trees PAC,Bruce Poliquin (Formerly ME-02),
C00387464,,Alamo PAC,John Cornyn (Senate R-TX),
C00567545,,Boots PAC,Mark Mullin (Senate R-OK),
C00773234,,Kansas Victory PAC,Jake LaTurner (KS-02),
C00762591,,Save America,Donald Trump,
C00439992,,KEYSTONE AMERICA PAC,"CASEY, ROBERT",
C00850974,,LEADERSHIP UNITY AND DIGNITY WHILE INSPIRING GENERATIONS (LUDWIG PAC),"LUDWIG, THOMAS CHARLES",
C00823773,,FRESHMAN PROTECTION PAC,"GARCIA, ROBERT",
C00850784,,WILLAMETTE VALLEY PAC,"SALINAS, ANDREA",
C00412791,,FORWARD TOGETHER PAC,"WARNER, MARK",
C00850610,,MICHIGAN'S RESURGENCE PAC (MR PAC),"ROGERS, MICHAEL",
C00307991,,RIPPLE OF HOPE PAC,"CICILLINE, DAVID",
C00850289,,DEFIANCE BUCKEYE FREEDOM PAC,"RIEDEL, CRAIG",
C00271338,,AMERIPAC: THE FUND FOR A GREATER AMERICA,"HOYER, STENY",
C00849935,,DEFEND THEM PAC INC.,"JOHNSON, PERRY",
C00403071,,ONE VOICE,"LEE, BARBARA",
C00574970,,FAIR SHOT PAC,"CLARK, KATHERINE",
C00687582,,GIDDY UP PAC,"HICKENLOOPER, JOHN",
C00769109,,HEALTH JOBS JUSTICE,"OSSOFF, T.",
C00431478,,GIVING WILLINGLY EMPOWERING NATIONALLY (GWEN) PAC,"MOORE, GWEN",
C00838649,,LONGLEAF PAC,"FOUSHEE, VALERIE",
C00654475,,SMART SOLUTIONS PAC,"ROSEN, JACKY",
C00822486,,RE-COOP ARIZONA PAC,"COOPER, KELLY",
C00832568,,HIGHWATER PAC,"FLOOD, MIKE",
C00493700,,BLUE HEN FEDERAL PAC,"COONS, CHRISTOPHER",
C00576975,,"LATINO LEADERS FOR EQUALITY, GROWTH, OPPORTUNITY, PROGRESSIVE ACTION & CHANGE (LLEGO-PAC)","GALLEGO, RUBEN",
C00848556,,MCKENZIE RIVER PAC,"HOYLE, VALERIE",
C00848523,,COLOR OF CONSERVATISM,"HEMPHILL, JAMES",
C00848515,,KEEP AMERICA TRUSTED AND EXCEPTIONAL PAC (K.A.T.E. PAC),"MONROE, KATE",
C00344788,,ALL AMERICA PAC,"BAYH, EVAN",
C00787879,,CARRY ON PAC,"CAREY, MIKE",
C00625558,,MILK RIVER PAC,"CLARKE, YVETTE",
C00840280,,GOOD TROUBLE TEXAS,"LY, FRANCINE",
C00822478,,SECURING A KINDER DEMOCRACY PAC,"KAMLAGER-DOVE, SYDNEY",
C00691915,,PRAYERIE PAC,"CRAMER, KEVIN",
C00799510,,"FREEDOM, FAMILY & PROSPERITY PAC","ROBERTSON, MARK",
C00344648,,RELY ON YOUR BELIEFS FUND,"BLUNT, ROY",
C00819102,,DREAMAKERS PAC,"CHAVEZ-DEREMER, LORI",
C00847087,,MOUNTAINEER PAC,"MOORE, RILEY",
C00847095,,RESILIENT MAJORITY PAC,"MENENDEZ, ROBERT J.",
C00552539,,MAKE IT WORK PAC,"KING, ANGUS",
C00492983,,NUTMEG PAC,"BLUMENTHAL, RICHARD",
C00416743,,VICTORY NOW PAC,"VAN HOLLEN, CHRIS",
C00846477,,SAP PAC,"SAPRAICONE, MICHAEL",
C00817338,,MVL PAC,"LAWLER, MICHAEL VINCENT",
C00641142,,AMERICANS FOR LEGISLATING EXCELLENCE PAC,"MOONEY, ALEXANDER XAVIER",
C00846071,,STORM PAC,"SORENSEN, ERIC",
C00764886,,MICHIGAN VALUES PAC,"MCCLAIN, LISA",
C00692590,,SUNSHINE ORGANIZATION FOR TREMENDOUS OPPORTUNITIES (SOTO PAC),"SOTO, DARREN",
C00785816,,LIFTOFF PAC,"KELLY, MARK",
C00790915,,BRIDGE PAC,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",
C00784694,,TKJ PAC,"KEAN, THOMAS H. JR.",
C00737064,,TAR HEEL PROSPERITY PAC,"BISHOP, JAMES DANIEL",
C00845099,,SEND IN THE SEAL PAC,"SHEEHY, TIM",
C00823351,,REPUBLICANS UNITED TO DEFEND YOU PAC (RUDY PAC),"YAKYM, RUDY",
C00844720,,DEMOCRATIC MAJORITY FUND,"DELBENE, SUZAN",
C00844266,,BUILDING A COMPETITIVE KEYSTONE STATE (BACKS) PAC,"MONTERO, MARIA",
C00809756,,AMERICA FOREVER,"SUAREZ, FRANCIS X.",
C00704247,,GATEWAY TO LEADERSHIP PAC,"SHERRILL, MIKIE",
C00385534,,LEGPAC,"CARDIN, BENJAMIN L",
C00493072,,DAKOTA PAC,"HOEVEN, JOHN",
C00840918,,FARM TO TABLE PAC,"PINGREE, CHELLIE",
C00843334,,CONSERVATIVE NEVADA LEADERSHIP PAC,"MARCHANT, JIM",
C00489831,,NEW ECONOMY PAC,"HIGGINS, BRIAN",
C00326439,,HOUSE CONSERVATIVES FUND,"CLINE, BENJAMIN LEE",
C00495887,,TOMORROW IS MEANINGFUL PAC,"SCOTT, TIMOTHY E.",
C00827519,,TOMORROW IS MEANINGFUL PAC - FEDERAL,"SCOTT, TIMOTHY E.",
C00417865,,TRUEDEM LEADERSHIP FUND,"KAPTUR, MARCY HON. M.C.",
C00583526,,"TOGETHER UNITED FOR LIBERTY, INTEGRITY AND PROSPERITY PAC (TULIP PAC)","MOOLENAAR, JOHN MR.",
C00826362,,WINNING FOR AMERICA PAC,"SCHMITT, ERIC",
C00629212,,ALL FOR OUR COUNTRY LEADERSHIP PAC,"CORTEZ MASTO, CATHERINE",
C00524603,,KEEP AMERICA ROLLING,"KELLY, GEORGE J JR",
C00832576,,GREAT CHAIN PAC,"RYAN, PATRICK",
C00841908,,A PLEASANT PENINSULA PAC,"SCHOLTEN, HILLARY",
C00815738,,THE AMERICAN TRANSFORMATION PAC,"MAJEWSKI, J R",
C00841445,,STARSPANGLEDBANNER,"CASEY, RICHARD",
C00678813,,CONSERVATIVES HARVESTING SUCCESS PAC,"HYDE-SMITH, CINDY",
C00841122,,LARSEN PAC,"LARSEN, FLEMMING",
C00827881,,CIRCLE THE WAGONS PAC,"LANGWORTHY, NICK",
C00824938,,BE AN AMERICAN PAC,"BEAN, AARON P.",
C00764472,,GADS PAC,"DEVOLDER-SANTOS, GEORGE ANTHONY",
C00830919,,GRIT & HEART PAC,"STANSBURY, MELANIE",
C00840462,,BUDWINSKI PAC,"BUDZINSKI, NIKKI",
C00838128,,MAKING AMERICA RESTORE LEADERSHIP & INDEPENDENCE NOW POLITICAL ACTION COMMITTEE,"STUTZMAN, MARLIN",
C00634774,,COMMON SENSE FOR AMERICA PAC,"KENNEDY, JOHN NEELY",
C00839886,,CLEAN ENERGY DEMOCRATS PAC,"MAGAZINER, SETH",
C00589606,,MOVING OUR NATION FORWARD PAC,"DESAULNIER, MARK",
C00780809,,NEW MEXICO FREEDOM FUND,"HERRELL, STELLA YVETTE",
C00431601,,OCEANS PAC,"WHITEHOUSE, SHELDON",
C00839662,,COYOTE PAC,"NICKEL, WILEY",
C00825463,,FLORIDA FREEDOM ACTION,"SABATINI, ANTHONY",
C00344234,,PAC TO THE FUTURE,"PELOSI, NANCY",
C00409276,,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,"BLACKBURN, MARSHA",
C00832147,,MITTEN PAC,"SLOTKIN, ELISSA",
C00399196,,BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC,"CLYBURN, JAMES",
C00688846,,INSPIRING LEADERSHIP HAS A NAME PAC,"OMAR, ILHAN",
C00813063,,LEADERSHIP AND LOYALTY ONLY TO AMERICA PAC,"NICK, LALOTA",
C00629576,,BUILD OUR MOVEMENT PAC,"JAYAPAL, PRAMILA",
C00685552,,MEDICARE FOR ALL,"JAYAPAL, PRAMILA",
C00820209,,BOOTSTRAP PRIORITIES PAC,"FRY, RUSSELL",
C00837641,,HONEST LEADERSHIP PAC,"CURRY, KELLEN",
C00834515,,PAC A PUNCH,"VASQUEZ, GABRIEL",
C00834101,,AS MAINE GOES PAC,"GOLDEN, JARED",
C00821736,,COACH GUY'S LEADERSHIP PAC,"CIARROCCHI, GUY",
C00528075,,FIRST CAPITAL PAC,"PERRY, SCOTT",
C00543116,,GOOD FRIENDS PAC,"BONAMICI, SUZANNE",
C00672667,,GOOD DAY PAC,"LAMB, CONOR",
C00494112,,JOBS AND INNOVATION MATTER PAC (JIM PAC),"HIMES, JIM",
C00804153,,STRENGTH IN SEVEN PAC,"BROWN, SHONTEL",
C00836304,,COURAGE PAC,"BALINT, REBECCA 'BECCA'",
C00836064,,CATAPULT PAC,"SESSLER, JERROD",
C00343574,,MAINSTREAM PAC,"LOFGREN, ZOE",
C00835579,,WORKING EVERY NIGHT AND DAY FOR YOU PAC,"DAVIS, WENDY",
C00538835,,COMMON GROUND PAC,"KAINE, TIMOTHY",
C00764431,,406 PAC,"ROSENDALE, MATT",
C00347195,,PRAIRIE POLITICAL ACTION COMMITTEE,"DURBIN, RICHARD",
C00433680,,TREASURE STATE PAC,"TESTER, R. JON",
C00818393,,"DOSE OF REALITY, OPTIMISM AND ZEAL PAC  (DR OZ PAC)","OZ, MEHMET",
C00835595,,POLITICAL ACTION COMMITTEE,"BARNES, JASON",
C00486720,,SEA CHANGE LEADERSHIP PAC,"BASS, KAREN",
C00363317,,JERRY'S POLITICAL ACTION COMMITTEE (JERRY'S PAC),"NADLER, JERROLD",
C00459925,,MURPHPAC,"MURPHY, CHRISTOPHER",
C00823500,,SECURING THE REPUBLIC FOR OUR NEXT GENERATION,"STRONG, DALE WHITNEY",
C00589309,,BLUE MOMENTUM PAC,"LIEU, TED",
C00773762,,FEARLESS ACTION,"BURROWS, JOHNATHON",
C00617803,,"JOBS, EDUCATION, & FAMILIES FIRST  JEFF PAC","JEFFRIES, HAKEEM",
C00248948,,PEOPLE HELPING PEOPLE,"WATERS, MAXINE",
C00798579,,PROGRESSIVE PAC,"LIEU, TED",
C00361410,,SOUTHERN CALIFORNIA FUND,"SHERMAN, BRAD",
C00692202,,COURAGE TO CHANGE,"OCASIO-CORTEZ, ALEXANDRIA",
C00771238,,DEFEND THE DREAM,"PADILLA, ALEX",
C00576090,,EVERGREEN PAC,"DELBENE, SUZAN",
C00834473,,JUSTICE UNITY AND LIBERTY IN AMERICA (JULIA PAC),"HASHEMIEH, JULIA",
C00765198,,LEADING PEOPLE FORWARD PAC,"FLETCHER, ELIZABETH",
C00652164,,JERSEY VALUES PAC,"GOTTHEIMER, JOSH",
C00823286,,MOUNTAIN THIRD PAC,"FRISCH, ADAM",
C00829663,,NOT SO OLD FASHIONED PAC,"MCGARVEY, MORGAN",
C00771113,,COUNTRY FIRST,"KINZINGER, ADAM",
C00522425,,FUTURE FIRST LEADERSHIP PAC,"KINZINGER, ADAM",
C00831545,,CACHE PAC,"PELTOLA, MARY",
C00732958,,MAKING A DIFFERENCE IN SERVICE TO OUR NATION PAC,"CAWTHORN, DAVID MADISON",
C00525600,,OFF THE SIDELINES PAC,"GILLIBRAND, KIRSTEN",
C00833954,,GOVERNMENT ACCOUNTABILITY PAC,"CASTELLI, ROBERT",
C00566059,,REMEDY PAC,"SWALWELL, ERIC",
C00700203,,GRANGE PAC,"PLASKETT, STACEY",
C00473116,,THREE RIVERS POLITICAL ACTION COMMITTEE,"SCHRADER, KURT",
C00377143,,BUILD AMERICA PAC,"MEEKS, GREGORY",
C00832766,,DEFEND AMERICA NOW ALLIANCE PAC (DANA PAC),"EDWARDS, DANA PHILLIP DR.",
C00833574,,TIMBER PAC,"GLUESENKAMP PEREZ, MARIE",
C00482703,,"FREEDOM PAC, INC.","CLYDE, ANDREW",
C00542621,,MAPLE PAC,"WELCH, PETER",
C00778449,,RESTORE AMERICA'S VOICE PAC,"MILLS, CORY",
C00832501,,AMERICAN EXCELLENCE PAC,"RICKETTS, PETE",
C00832808,,NEW SHERIFF PAC,"EZELL, WALTER MICHAEL",
C00405050,,BRINGING EVERYONE TOGETHER THROUGH ADVOCACY,"MCCOLLUM, BETTY",
C00760629,,JOY PAC,"KING, ESTHER",
C00577288,,DECIDING CRITICAL RACES PAC (DCR PAC),"ROUZER, DAVID",
C00774588,,MISSION FIRST PEOPLE ALWAYS PAC,"JAMES, JOHN",
C00762369,,SUMMITT PAC,"CRAIG, ANGELA DAWN",
C00692111,,VELVET HAMMER PAC,"SMITH, TINA",
C00764795,,WE THE PEOPLE LEADERSHIP PAC,"BOEBERT, LAUREN",
C00573709,,CA LUV PAC (CALIFORNIA LEADERSHIP UNITED FOR VICTORY PAC),"AGUILAR, PETE",
C00326082,,FUND FOR A CONSERVATIVE FUTURE,"INHOFE, JAMES",
C00786368,,31 DAYS PAC,"ELLZEY, JOHN KEVIN SR",
C00831503,,FOUNDATIONS BASED ON INTEGRITY POLITICAL ACTION COMMITTEE (FBIPAC),"MAHER, MICHAEL",
C00377689,,"PROSPERITY ACTION, INC.","RYAN, PAUL",
C00570101,,VIBE PAC (VICTORY BY INVESTING BUILDING EMPOWERING),"CARDENAS, TONY",
C00831362,,THE MPIRE STRIKES PAC,"MOSKOWITZ, JARED",
C00820019,,GSL PAC,"LOGAN, GEORGE S",
C00551168,,PUGET PAC,"LARSEN, RICK",
C00831008,,FIGHT ON IA,"ARENHOLZ, ASHLEY",
C00325357,,PIONEER POLITICAL ACTION COMMITTEE,"TIBERI, PATRICK",
C00764134,,FREE MARKET FUND,"SPARTZ, VICTORIA",
C00808717,,KEEP TEXAS TEXAS PAC,"DE LA CRUZ, MONICA",
C00427401,,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,"CARTER, JOHN R.",
C00680132,,JOINING IDEAS TO MOTIVATE MOVEMENT FOR YOU (JIMMY PAC),"PANETTA, JIMMY",
C00829408,,PAC IN THE SADDLE,"PETTERSEN, BRITTANY LOUISE MS.",
C00484402,,COUNTRY ROADS PAC,"MANCHIN, JOE",
C00633156,,I GOT YOUR BACK PAC,"BLUNT ROCHESTER, LISA",
C00830174,,SECURING PROGRESS ACROSS OUR NATION PAC (SPAN PAC),"SPANBERGER, ABIGAIL",
C00830182,,YINZER PAC,"DELUZIO, CHRISTOPHER",
C00571182,,GETTING STUFF DONE PAC (GSD-PAC),"SINEMA, KYRSTEN",
C00830109,,SECURE AMERICA PAC,"SPALDING, CARLA A",
C00829879,,ADOS REPUBLICAN,"KENNEDY, RONDA",
C00798405,,TAKE BACK ARIZONA PAC,"MASTERS, BLAKE",
C00829655,,FUELING INDIVIDUAL RIGHTS EVERYWHERE (FIRE) PAC,"CROCKETT, JASMINE",
C00820480,,YES TO YESLI PAC,"VEGA, YESLI",
C00571802,,SENSIBLE AMERICAN SOLUTIONS SUPPORTING EVERYONE PAC,"SASSE, BENJAMIN E.",
C00827295,,FOR THE CHILDREN PAC,"BOWMAN, JAMAAL",
C00826917,,POLITIVIST LPAC,"BUSH, CORI",
C00822833,,DEFENDING THE AMERICAN DREAM PAC,"CISCOMANI, JUAN",
C00828426,,BLUE RIDGE VICTORY FUND,"EDWARDS, CHUCK",
C00819425,,OLD BREED PAC,"MCCORMICK, RICHARD DEAN DR.",
C00828186,,SAVE CHICAGO,"AGUIRRE, JUAN ENRIQUE",
C00525238,,IMPACT COMMITTEE,"TURNER, REP MICHAEL R",
C00827675,,TRIDENT POLITICAL ACTION COMMITTEE,"CRANE, ELI",
C00827394,,BLESSING OF LIBERTY,"BRECHEEN, JOSH",
C00331694,,AMERICA WORKS FEDERAL PAC,"BROWN, SHERROD",
C00572586,,CAPITOL HEEL PAC,"ADAMS, ALMA SHEALEY",
C00819342,,ENGINEERING THE FUTURE PAC,"SHAFFER, JEREMY",
C00824474,,THE AMERICAN RENEWAL PAC,"MCCORMICK, DAVE",
C00816751,,IT MATTERS WHO LEADS PAC,"OGLES, ANDY",
